,ADC,TEMP
0,1188,42.83812795
1,1222,43.34907686
2,1225,43.39416058
3,1216,43.2589094
4,1223,43.36410477
5,1205,43.0936024
6,1217,43.27393731
7,1,25
8,1202,43.04851868
9,1239,43.60455131
10,1242,43.64963504
11,1251,43.78488622
12,1260,43.9201374
13,1255,43.84499785
14,1254,43.82996994
15,1273,44.11550021
16,1265,43.99527694
17,1295,44.44611421
18,1298,44.49119794
19,1301,44.53628167
20,1308,44.64147703
21,1316,44.7617003
22,1338,45.0923143
23,1344,45.18248175
24,1354,45.33276084
25,1356,45.36281666
26,1364,45.48303993
27,373,30.59038214
28,1373,45.61829111
29,1391,45.88879347
30,1385,45.79862602
31,1420,46.32460283
32,1422,46.35465865
33,1423,46.36968656
34,1438,46.5951052
35,1437,46.58007729
36,1459,46.91069128
37,1463,46.97080292
38,448,31.71747531
39,480,32.1983684
40,1478,47.19622155
41,1487,47.33147274
42,1498,47.49677973
43,1493,47.42164019
44,1516,47.7672821
45,1520,47.82739373
46,1521,47.84242164
47,1539,48.112924
48,1545,48.20309146
49,1553,48.32331473
50,1559,48.41348218
51,1562,48.45856591
52,1568,48.54873336
53,1574,48.63890082
54,1587,48.83426363
55,1596,48.96951481
56,1597,48.98454272
57,1616,49.27007299
58,1621,49.34521254
59,1618,49.30012881
60,1625,49.40532417
61,1625,49.40532417
62,1639,49.6157149
63,1644,49.69085444
64,1652,49.81107772
65,1653,49.82610562
66,1660,49.93130099
67,1673,50.1266638
68,1676,50.17174753
69,1684,50.2919708
70,1669,50.06655217
71,1692,50.41219407
72,1687,50.33705453
73,1703,50.57750107
74,1690,50.38213826
75,1717,50.7878918
76,1737,51.08844998
77,1730,50.98325462
78,1735,51.05839416
79,734,36.01545728
80,1745,51.20867325
81,1752,51.31386861
82,1767,51.53928725
83,1757,51.38900816
84,1760,51.43409188
85,1788,51.85487334
86,1786,51.82481752
87,1790,51.88492915
88,1768,51.55431516
89,1766,51.52425934
90,5,25.06011164
91,1796,51.97509661
92,1809,52.17045942
93,1804,52.09531988
94,1820,52.33576642
95,1802,52.06526406
96,1817,52.2906827
97,1836,52.57621297
98,1843,52.68140833
99,1836,52.57621297
100,1843,52.68140833
101,1853,52.83168742
102,1858,52.90682696
103,1870,53.08716187
104,1872,53.11721769
105,1877,53.19235723
106,1869,53.07213396
107,1859,52.92185487
108,1879,53.22241305
109,1886,53.32760842
110,1900,53.53799914
111,1892,53.41777587
112,1909,53.67325032
113,1914,53.74838987
114,1912,53.71833405
115,1922,53.86861314
116,1906,53.6281666
117,1922,53.86861314
118,1939,54.12408759
119,1927,53.94375268
120,1941,54.15414341
121,1936,54.07900386
122,1941,54.15414341
123,945,39.18634607
124,1952,54.31945041
125,1962,54.4697295
126,1953,54.33447832
127,1958,54.40961786
128,1975,54.66509231
129,1969,54.57492486
130,1971,54.60498068
131,1982,54.77028768
132,1994,54.95062258
133,8,25.10519536
134,5,25.06011164
135,1980,54.74023186
136,1978,54.71017604
137,1999,55.02576213
138,2041,55.65693431
139,2008,55.16101331
140,2005,55.11592958
141,2011,55.20609704
142,2030,55.49162731
143,2029,55.4765994
144,2023,55.38643195
145,2029,55.4765994
146,2038,55.61185058
147,2042,55.67196222
148,2044,55.70201803
149,2078,56.21296694
150,2053,55.83726921
151,2050,55.79218549
152,2058,55.91240876
153,2063,55.9875483
154,2075,56.16788321
155,2068,56.06268785
156,2076,56.18291112
157,2062,55.9725204
158,2073,56.13782739
159,2075,56.16788321
160,2081,56.25805067
161,2087,56.34821812
162,2082,56.27307857
163,2090,56.39330185
164,2094,56.45341348
165,2112,56.72391584
166,2114,56.75397166
167,2109,56.67883212
168,2114,56.75397166
169,2118,56.8140833
170,2115,56.76899957
171,2115,56.76899957
172,2131,57.00944611
173,2124,56.90425075
174,2138,57.11464148
175,2144,57.20480893
176,2141,57.1597252
177,2137,57.09961357
178,2140,57.14469729
179,2151,57.31000429
180,2153,57.34006011
181,2158,57.41519966
182,2156,57.38514384
